#,Priority,Category,Segment,Product,FILENAME 01 (front - required),FILENAME 02 (back label - optional),Our price,Cost ex GST,Additional Info (paste product facts here),Dan Murphy price
111,P2,Wine,,Jf Moreau Premier Cru Mont de Milieu 2021,jf-moreau-premier-cru-mont-de-milieu-2021-01.jpg,jf-moreau-premier-cru-mont-de-milieu-2021-02.jpg,134.99,91.64,,
112,P2,Wine,,Marziano Abbona Barbaresco DOCG,marziano-abbona-barbaresco-docg-01.jpg,marziano-abbona-barbaresco-docg-02.jpg,133.99,91.3,,
113,P2,Wine,,Xanadu Reserve Chardonnay,xanadu-reserve-chardonnay-01.jpg,xanadu-reserve-chardonnay-02.jpg,132.99,90.34,,
114,P2,Wine,,Oakridge 864 Chardonnay,oakridge-864-chardonnay-01.jpg,oakridge-864-chardonnay-02.jpg,126.99,86.09,,
115,P2,Wine,,MoÃ«t & Chandon RosÃ©,moet-chandon-rose-01.jpg,moet-chandon-rose-02.jpg,126.99,86.37,,
116,P2,Wine,,Taittinger NV Brut,taittinger-nv-brut-01.jpg,taittinger-nv-brut-02.jpg,126.99,85.91,,
117,P2,Wine,,Ayala Brut Majeur NV,ayala-brut-majeur-nv-01.jpg,ayala-brut-majeur-nv-02.jpg,126.99,86.56,,
118,P2,Wine,,Oakridge 864 Henk Chardonnay,oakridge-864-henk-chardonnay-01.jpg,oakridge-864-henk-chardonnay-02.jpg,126.99,86.09,,
119,P2,Wine,,Diego Rivetti Barolo Elda 2022,diego-rivetti-barolo-elda-2022-01.jpg,diego-rivetti-barolo-elda-2022-02.jpg,125.99,85.8,,
120,P2,Wine,,Jean Michel Giboulot Savigny Les Beaune Aux Fournaux 1er Cru 2018,jean-michel-giboulot-savigny-les-beaune-aux-fournaux-1er-cru-2018-01.jpg,jean-michel-giboulot-savigny-les-beaune-aux-fournaux-1er-cru-2018-02.jpg,123.99,84.43,,
121,P2,Wine,,Piazzo Barbaresco Pajore DOCG 2021,piazzo-barbaresco-pajore-docg-2021-01.jpg,piazzo-barbaresco-pajore-docg-2021-02.jpg,123.99,83.96,,
