Range? (y/n),Segment,Rank TY,Rank LY,Segment % share,ALM description,ALM item code,Barcode (GTIN),Supplier,Stock type,Carton size,Unit cost ex GST,Already stocked (barcode match)
,RUM WHITE,5,52,7.47%,BUNDABERG SILVER RUM 37% 700ML,260210,9310495091140,,core-extract,6.0,46.16,
,RUM WHITE,6,52,3.71%,MALIBU COCONUT RUM       700ML,501239,8410024710601,,core-extract,6.0,33.59,
,RUM WHITE,7,34,3.21%,HAVANA CLUB ANOS3YO 37.5%700ML,234905,8501110088831,,core-extract,6.0,45.97,
,RUM WHITE,8,9,2.69%,BEENLEIGH RUM WHT 37.5%  700ML,578155,9332364002491,,core-extract,6.0,44.53,
,RUM WHITE,9,3,1.94%,BACARDI RUM                 1L,977838,,,,,,
,RUM WHITE,10,22,1.87%,CASA SPIRITS WHITE RUM   700ML,653895,9356572000773,,core-extract,6.0,39.98,
,RUM WHITE,11,5,1.84%,SHIPMASTER SILVER UB        1L,906879,,,,,,
,RUM WHITE,12,52,1.83%,BACARDI COCONUT 27%     N700ML,367520,7610113028100,,core-extract,6.0,44.77,
,RUM WHITE,13,52,1.78%,MALIBU COCONUT RUM          1L,501205,8410024710618,,core-extract,6.0,45.72,
,RUM WHITE,14,7,1.75%,BATI WHITE RUM 2YO 37.5% 700ML,672006,9421901704674,,core-extract,6.0,48.03,
,RUM WHITE,15,52,1.06%,HAVANA CLUB ANOS 3YO 37.5%  1L,344666,,,,,,
,RUM WHITE,16,10,0.92%,BACARDI COCONUT 27%      700ML,865719,,,,,,
,RUM WHITE,17,12,0.82%,HAVANA CLUB ANOS 7YO    700ML,855764,8501110080439,,core-extract,6.0,57.94,
,RUM WHITE,18,25,0.64%,ANGOSTURA RESERVA RUM    700ML,558422,0075496332201,,core-extract,6.0,53.50,
,RUM WHITE,19,6,0.60%,BUNDY SML/B SILVR RES WHT700ML,922760,,,,,,
,RUM WHITE,20,52,0.57%,BACARDI OCHO            N700ML,367554,7610113001516,,core-extract,6.0,61.79,
