Group,ALM description,ALM item code,Carton,Cost/btl,Price @25% GP,GP %,Range? (y/n)
White,CHATEAU DE MALIGNY CHABLIS VIEILLES VIGNES 2025 12.5% 750ML,31432565,6,84.18,112.99,25.5,
White,CHATEAU DE MALIGNY CHABLIS CARRÉ DE CÉSAR 2025 12.5% 750ML,31432573,6,79.92,106.99,25.3,
White,BEAURENARD CHATEAU BLANC CHATEAUNEUF DU PAPE 750ML,31494127,6,74.02,98.99,25.2,
White,CLOUDY BAY TE KOKO       750ML,807240,6,73.54,98.99,25.7,
White,XANADU STEVENS RD CHARDONNAY 750ML,31497638,6,70.24,93.99,25.3,
White,MILLEBUIS BOURGOGNE MONTAGNY PREMIER CRU 2022 13.5% 750ML,31423100,6,64.67,86.99,25.7,
White,VILLEBOIS SANCERRE BLANC MARNE 750ML,31497353,6,62.44,83.99,25.7,
White,VIGNOBLE DAUNY AOC SANCERRE BLANC LES CAILLOTTES 2025 12% 750ML,31432557,6,60.06,80.99,25.8,
White,PETALUMA YL CHARDONNAY   750ML,522052,6,59.56,79.99,25.5,
White,CHATEAU DE MALIGNY PETIT CHABLIS 2023 750ML,30972457,6,53.32,71.99,25.9,
White,LAROCHE CHABLIS ST MARTIN 750ML,31043992,6,52.43,69.99,25.1,
White,PATRICK PIUZE 2023 PETIT CHABLIS 750ML,31145249,12,51.54,68.99,25.3,
White,JF MOREAU CHABLIS 2023 750ML,31357414,12,50.26,67.99,26.1,
White,CLOUDY BAY CHARDONNAY    750ML,558176,6,48.09,64.99,26.0,
White,CAPE MENTELLE CHARDONNAY MARGARET RIVER 750ML,506857,6,47.06,62.99,25.3,
White,JF MOREAU PETIT CHABLIS 2023 750ML,31357391,12,46.12,61.99,25.6,
White,DOMAINE CHRISTIAN SALMON SANCERRE AC 750ML,30872924,12,46.12,61.99,25.6,
White,LAURENT HABRARD CROZES HERMITAGE BLANC GRAND CLASSIQUE 750ML,30838190,6,46.12,61.99,25.6,
White,MAISON TRAMIER & FILS AOP CHABLIS 2025 750ML,30819201,12,45.62,60.99,25.2,
White,CLOUDY BAY SAUV BLANC    750ML,567353,6,42.94,57.99,26.0,
White,ROLAND TISSIER SANCERRE 750ML,31057894,12,42.57,56.99,25.3,
White,CAPE MENTELLE WALLCLIFFE SAUVIGNON BLANC 750ML,506129,6,42.33,56.99,25.7,
White,LAROCHE PETIT CHABLIS 2023 750ML,31044003,6,41.95,55.99,25.1,
White,LA CHABLISIENNE LAPIERELE CHABLIS 750ML,31495872,6,41.86,55.99,25.2,
White,GREYWACKE CHARDONNAY - MARLBOROUGH NEW ZEALAND 750ML,30829719,12,41.74,55.99,25.4,
White,KILIKANOON MORT'S RESERVE RIESLING 2024 750ML,31354686,6,41.39,55.99,26.1,
White,GREYWACKE WILD SAUVIGNON - MARLBOROUGH NEW ZEALAND 750ML,30829701,12,38.50,51.99,25.9,
White,JOSEPH DROUHIN LAFORET BOURGOGNE CHARDONNAY 750ML,31347891,6,38.39,51.99,26.2,
White,JOSEPH DROUHIN CHABLIS 750ML,31347867,6,38.39,51.99,26.2,
White,POGGIO AL TESORO 'SOLOSOLE' VERMENTINO BOLGHERI DOC - TUSCANY ITALY 750ML,30830443,6,35.48,47.99,26.1,
