Range? (y/n),Brand,ALM description,Category,Supplier,ALM item code,Barcode (GTIN),Carton size,Unit cost ex GST,Retail @25% GP ex GST,On promo,Notes
,JACOBS,JACOBS CK SHIRAZ CAB     750ML,WINE STILL RED,VINARCHY AUSTRALIA,522272,9311043404146,12,7.56,11.99,Y,
,JACOBS,JACOBS CK MERLOT         750ML,WINE STILL RED,VINARCHY AUSTRALIA,767000,9311043400469,12,7.56,11.99,Y,
,JACOBS,JACOBS CK CAB SAUVIGNON  750ML,WINE STILL RED,VINARCHY AUSTRALIA,577926,9311043401763,12,7.56,11.99,Y,
,JACOBS,JACOBS CK SHIRAZ         750ML,WINE STILL RED,VINARCHY AUSTRALIA,560791,9311043401039,12,7.56,11.99,Y,
,JACOBS,JACOBS CK PINOT NOIR     750ML,WINE STILL RED,VINARCHY AUSTRALIA,503231,9311043403088,12,7.56,11.99,Y,
,PEPPERJACK,PEPPERJACK DISH SHIRAZ   750ML,WINE STILL RED,TREASURY WINE ESTATES,680703,9300770006990,6,7.54,11.99,Y,
,PEPPERJACK,PEPPERJACK DISH C/SAUV   750ML,WINE STILL RED,TREASURY WINE ESTATES,680567,9300770007027,6,7.54,11.99,Y,
,BURGE,G/BURGE GB88 CAB SAUV    750ML,WINE STILL RED,VINARCHY AUSTRALIA,572361,9315705012403,6,7.48,10.99,Y,
,BURGE,G/BURGE GB43 MERLOT      750ML,WINE STILL RED,VINARCHY AUSTRALIA,527023,9315705012366,6,7.48,10.99,Y,
,BURGE,G/BURGE GB56 SHIRAZ      750ML,WINE STILL RED,VINARCHY AUSTRALIA,668620,9315705012304,6,7.48,10.99,Y,
,BURGE,G/BURGE GB51 CAB SHIRAZ  750ML,WINE STILL RED,VINARCHY AUSTRALIA,668612,9315705012106,6,7.48,10.99,Y,
,HILL,CHALK HILL BLUE CAB/MER  750ML,WINE STILL RED,VINTAGE HOUSE WINE & SPIR,564740,9300694356041,12,6.80,9.99,,
,HILL,CHALK HILL BLUE SHZ/CAB  750ML,WINE STILL RED,VINTAGE HOUSE WINE & SPIR,523008,9300694335947,12,6.80,9.99,,
,MCGUIGAN,MCGUIGAN BLK LBL MERLOT  750ML,WINE STILL RED,AUSTRALIAN VINTAGE-DOMEST,784997,0764253505186,6,6.79,9.99,Y,
,MCGUIGAN,MCGUIGAN BLK LBL MID RED 750ML,WINE STILL RED,AUSTRALIAN VINTAGE-DOMEST,199537,9310415019148,6,6.79,9.99,Y,
,MCGUIGAN,MCGUIGAN BLK LBL MALBEC  750ML,WINE STILL RED,AUSTRALIAN VINTAGE-DOMEST,928172,9310415016871,6,6.79,9.99,Y,
,MCGUIGAN,MCGUIGAN BLK LBL CAB SAV 750ML,WINE STILL RED,AUSTRALIAN VINTAGE-DOMEST,548744,0764253951020,6,6.79,9.99,Y,
,MCGUIGAN,MCGUIGAN BLK LBL SHIRAZ  750ML,WINE STILL RED,AUSTRALIAN VINTAGE-DOMEST,383123,0764253505452,6,6.79,9.99,Y,
,MCGUIGAN,MCGUIGAN BLK LBL CAB MRL 750ML,WINE STILL RED,AUSTRALIAN VINTAGE-DOMEST,787686,0764253505209,6,6.79,9.99,Y,
,MCGUIGAN,MCGUIGAN BLK LBL RED     750ML,WINE STILL RED,AUSTRALIAN VINTAGE-DOMEST,518524,0764253500204,6,6.79,9.99,Y,
,ANGOVE,ANGOVE L/ROW MERLOT      750ML,WINE STILL RED,VINTAGE HOUSE WINE & SPIR,538079,9300694338542,12,6.41,9.99,,
,ANGOVE,ANGOVE L/ROW SHIRAZ      750ML,WINE STILL RED,VINTAGE HOUSE WINE & SPIR,535013,9300694338443,12,6.41,9.99,,
,ANGOVE,ANGOVE L/ROW CAB SAUV    750ML,WINE STILL RED,VINTAGE HOUSE WINE & SPIR,530495,9300694338344,12,6.41,9.99,,
,DE,M DE MINUTY ROSE         750ML,WINE STILL ROSE,MOET HENNESSY AUSTRALIA,529517,3547102223007,6,24.33,35.99,,
,PENFOLDS,PENFOLDS MAX ROSE        750ML,WINE STILL ROSE,PENFOLDS WINES INTERNATIO,151217,9310297040117,6,20.10,29.99,Y,
,ST,ESTANDON HERITAGE ROSE   750ML,WINE STILL ROSE,VINTAGE HOUSE WINE & SPIR,488211,3269210254024,6,19.95,29.99,,
,PETALUMA,PETALUMA WL ROSE         750ML,WINE STILL ROSE,VINARCHY AUSTRALIA,736910,9338979841043,6,18.67,27.99,Y,
,DE,TAYLOR MADE P/NOIR ROSE  750ML,WINE STILL ROSE,TAYLORS WINES PTY LTD,768666,9311659001548,6,17.18,25.99,,
,PEPPERJACK,PEPPERJACK ROSE 750ML,WINE STILL ROSE,TREASURY WINE ESTATES,318911,9300770005368,6,16.76,24.99,Y,
,AUDREY,AUDREY WILK ROSE         750ML,WINE STILL ROSE,JOVAL WINE GROUP PTY LTD,587727,9330726000680,6,15.94,23.99,Y,
,YALUMBA,YALUMBA SC BAROSSA G/ROSE750ML,WINE STILL ROSE,SAMUEL SMITH & SON,960726,9311789009155,6,15.67,22.99,Y,
,ST,ST HALLETT ROSE          750ML,WINE STILL ROSE,VINARCHY AUSTRALIA,512206,9316920400945,6,15.48,22.99,,
,DE,MADELEINE MEDIT CUVEEROSE750ML,WINE STILL ROSE,DOMAINE WINE SHIPPERS P/L,495527,3760109885881,12,15.47,22.99,,
,ANGOVE,ANGOVE LITTLE BR O ROSE  750ML,WINE STILL ROSE,VINTAGE HOUSE WINE & SPIR,531904,9300694003471,6,15.41,22.99,,
,WIRRA,WIRRA WIRRA MRS WIG ROSE 750ML,WINE STILL ROSE,SAMUEL SMITH & SON,517316,9315125901080,6,15.02,22.99,,
,YERING,LITTLE YERING DRY ROSE   750ML,WINE STILL ROSE,OATLEY FINE WINE MERCHANT,491502,9316562003641,6,14.42,21.99,Y,
,ST,ST HUBERTS STAG ROSE     750ML,WINE STILL ROSE,TREASURY WINE ESTATES,697802,9313666000453,6,14.40,21.99,,
,TE,TEMPLE BRUER P/F ROSE    750ML,WINE STILL ROSE,VINTAGE HOUSE WINE & SPIR,283111,9313531000984,12,14.27,20.99,Y,
,DE,MARQUIS DE PENNAUTIER    750ML,WINE STILL ROSE,OATLEY FINE WINE MERCHANT,696966,3454781520887,12,14.22,20.99,,
,TE,PETER LEHM PORT ROSE     750ML,WINE STILL ROSE,OATLEY FINE WINE MERCHANT,947998,9311910105909,6,13.64,20.99,,
,ST,ARA SINGLE EST PNT ROSE  750ML,WINE STILL ROSE,OATLEY FINE WINE MERCHANT,227144,9416040002897,6,13.61,19.99,Y,
,WILD,WILDFLOWER ROSE          750ML,WINE STILL ROSE,OATLEY FINE WINE MERCHANT,872465,9338053009543,6,13.41,19.99,Y,
,ST,INNOCENT BYSTAND ROSE    750ML,WINE STILL ROSE,BROWN FAMILY WINE GROUP,762092,9331574001591,6,13.25,19.99,Y,
,DE,QUILTY & GRANSDEN ROSE   750ML,WINE STILL ROSE,OATLEY FINE WINE MERCHANT,437414,9354568000455,6,12.16,17.99,,
,ST,ST AIME ROSE             750ML,WINE STILL ROSE,OATLEY FINE WINE MERCHANT,667108,9338053012932,6,11.35,16.99,Y,
,TE,MATEUS ROSE KANGA PACK   750ML,WINE STILL ROSE,OATLEY FINE WINE MERCHANT,777291,07772917,6,10.42,15.99,Y,
,TE,MATEUS ROSE              750ML,WINE STILL ROSE,OATLEY FINE WINE MERCHANT,546917,5601012011500,6,9.96,14.99,Y,
