Add? (y/n),Category,Segment,Rank,Product name (readable),ALM description,ALM item code,Barcode,Supplier,Stock type,Carton,Unit cost ex GST,Retail @25% GP,Image filename,Got image? (y/n)
,WINE,SPARKLING RED,21,Bleasdale Sparkling NV Shiraz 200mL,BLEASDALE SPK NV SHIRAZ  200ML,337127,,,,,,,bleasdale-sparkling-nv-shiraz-200ml-01.jpg,
,WINE,SPARKLING RED,22,Reillys Cuvee Shiraz 750mL,REILLYS CUVEE SHIRAZ 750ML,528676,,,,,,,reillys-cuvee-shiraz-750ml-01.jpg,
,WINE,SPARKLING RED,22,C/Burge Sparkling Red 750mL,C/BURGE SPARKLING RED    750ML,780511,,BURGE FAMILY WINE ESTATES PTY LTD,ALM Connect,6,18.92,27.99,c-burge-sparkling-red-750ml-01.jpg,
,WINE,SPARKLING RED,24,De Bortoli Woodfd Sparkling Shiraz 750mL,DE BORTOLI WOODFD SPK SHZ750ML,964856,,,,,,,de-bortoli-woodfd-sparkling-shiraz-750ml-01.jpg,
,WINE,SPARKLING RED,25,Flying Fish Sparkling Red 750mL,FLYING FISH SPARKLING RED750ML,316066,,,,,,,flying-fish-sparkling-red-750ml-01.jpg,
,WINE,SPARKLING ROSE,1,Yellowglen Pink Sparkling Rosé 750mL,YELLOWGLEN PINK SPK ROSE 750ML,792225,9300770050726,TREASURY WINE ESTATES,ALM Warehouse,6,7.17,10.99,yellowglen-pink-sparkling-ros-750ml-01.jpg,
,WINE,SPARKLING ROSE,2,Yellowtail Bubbles Rosé 750mL,YELLOWTAIL BUBBLES ROSE  750ML,654663,9322214011209,CASELLA WINES PTY LTD,ALM Warehouse,12,7.35,10.99,yellowtail-bubbles-ros-750ml-01.jpg,
,WINE,SPARKLING ROSE,3,Yellowglen Pink 65 NV 750mL,YELLOWGLEN PINK 65 NV    750ML,574850,9300770002749,TREASURY WINE ESTATES,ALM Warehouse,6,7.17,10.99,yellowglen-pink-65-nv-750ml-01.jpg,
,WINE,SPARKLING ROSE,4,Jacobs Ck Sparkling Rosé 750mL,JACOBS CK SPK ROSE       750ML,588414,9311043403262,VINARCHY AUSTRALIA,ALM Warehouse,6,7.53,11.99,jacobs-ck-sparkling-ros-750ml-01.jpg,
,WINE,SPARKLING ROSE,5,Jansz Non Vintage Rosé 750mL,JANSZ NON VINTAGE ROSE   750ML,834124,9311789001104,SAMUEL SMITH & SON,ALM Warehouse,6,23.40,34.99,jansz-non-vintage-ros-750ml-01.jpg,
