Title,Cost,Old price,New price,Change,New GP% (ex-GST)
Vignoble Dauny AOC Sancerre Blanc Les Caillottes 2025,60.06,80.99,88.99,+8.00,25.8
Piazzo Barolo Valente DOCG 2020,59.72,79.99,87.99,+8.00,25.3
Petaluma Yellow Label Chardonnay,59.56,79.99,87.99,+8.00,25.5
Casali del Barone Barolo 2020,57.94,77.99,84.99,+7.00,25.0
Piazzo Barbaresco Arge DOCG 2021,56.76,75.99,83.99,+8.00,25.7
Cloudy Bay Pinot Noir,54.94,73.99,80.99,+7.00,25.4
Chateau de Maligny Petit Chablis 2023,53.32,71.99,78.99,+7.00,25.7
Dow's Colheita Tawny Port Portugal,52.77,70.99,77.99,+7.00,25.6
Yalumba Signature Cabernet Shiraz,52.57,70.99,77.99,+7.00,25.9
Petaluma Yellow Label Shiraz,52.03,69.99,76.99,+7.00,25.7
Laroche Chablis St Martin,52.43,69.99,76.99,+7.00,25.1
Chateau Galeteau Cuvee Eleonore Saint Emilion Grand Cru 2022,51.32,68.99,75.99,+7.00,25.7
Patrick Piuze 2023 Petit Chablis,51.54,68.99,75.99,+7.00,25.4
Minuty Rosé et Or,50.61,67.99,74.99,+7.00,25.8
Podere Casanova DOCG Chianti Classico,50.85,67.99,74.99,+7.00,25.4
Jf Moreau Chablis 2023,50.26,67.99,73.99,+6.00,25.3
Hentley Farm Quint Shiraz,48.01,64.99,70.99,+6.00,25.6
Peyrassol Chateau Rose,48.01,64.99,70.99,+6.00,25.6
Cloudy Bay Chardonnay,48.09,64.99,70.99,+6.00,25.5
Cape Mentelle Zinfandel Margaret River,47.06,62.99,69.99,+7.00,26.0
Cape Mentelle Chardonnay Margaret River,47.06,62.99,69.99,+7.00,26.0
Henschke Keyneton Estate,46.51,62.99,68.99,+6.00,25.8
House of Arras Brut Elite Rose,46.83,62.99,68.99,+6.00,25.3
Banfi DOCG Chianti Classico Riserva,46.12,61.99,67.99,+6.00,25.4
Jf Moreau Petit Chablis 2023,46.12,61.99,67.99,+6.00,25.4
Domaine Christian Salmon Sancerre Ac,46.12,61.99,67.99,+6.00,25.4
Laurent Habrard Crozes Hermitage Blanc Grand Classique,46.12,61.99,67.99,+6.00,25.4
Maison Tramier & Fils Aop Chablis 2025,45.62,60.99,66.99,+6.00,25.1
Donne Fittipaldi Bolgheri Rosso,44.00,58.99,64.99,+6.00,25.5
Greywacke Pinot Noir Marlborough New Zealand,43.95,58.99,64.99,+6.00,25.6
Joseph Drouhin Laforet Bourgogne Pinot Noir,43.89,58.99,64.99,+6.00,25.7
Chiappini DOC Bolgheri Rosso Ferruggini,43.75,58.99,64.99,+6.00,26.0
Cloudy Bay Sauvignon Blanc,42.94,57.99,62.99,+5.00,25.0
