Product,Our cost,Why it could not be written automatically,ALM candidate 1,ALM candidate 2,ALM candidate 3,Barcode (FILL from bottle or ALM portal)
Lacourte-Godbillon Rose Premier Cru (Pinot Noir) - Champagne France,112.2,matched 30828771 but no APN on file,LACOURTE-GODBILLON ROS� PREMIER CRU (PINOT NOIR) - CHAMPAGNE FRANCE 750ML,,,
Lark Classic Cask Single Malt Whisky,157.83,GTIN-8 is for very small packs; implausible on a 500ml bottle,LARK CLASSIC CASK WSK 43%500ML,,,
Laroche Chablis St Martin,52.43,matched 31043992 but no APN on file,LAROCHE CHABLIS ST MARTIN 750ML,,,
Laroche Petit Chablis 2023,41.95,matched 31044003 but no APN on file,LAROCHE PETIT CHABLIS 2023 750ML,,,
Laurent Habrard Crozes Hermitage Blanc Grand Classique,46.12,matched 30838190 but no APN on file,LAURENT HABRARD CROZES HERMITAGE BLANC GRAND CLASSIQUE 750ML,,,
Maison Tramier & Fils Aop Chablis 2025,45.62,matched 30819201 but no APN on file,MAISON TRAMIER & FILS AOP CHABLIS 2025 750ML,,,
Maison Tramier & Fils Corton Grand Cru Pinot Noir 2016,188.55,matched 30819269 but no APN on file,MAISON TRAMIER & FILS CORTON GRAND CRU PINOT NOIR 2016 750ML,,,
Maison Tramier & Fils Vosne-Romanee Pinot Noir 2020,172.67,matched 30819243 but no APN on file,MAISON TRAMIER & FILS VOSNE-ROMANEE PINOT NOIR 2020 750ML,,,
Marziano Abbona Barbaresco DOCG,91.3,matched 30933958 but no APN on file,MARZIANO ABBONA BARBARESCO DOCG 750ML,,,
Marziano Abbona DOCG Barolo,130.9,matched 30933966 but no APN on file,MARZIANO ABBONA DOCG BAROLO 750ML,,,
Maybe Sammy Chamomile Martini,13.33,cost matched but name did not,RE WRITE CHARDONNAY      750ML,RE WRITE GSM            750ML,DE BORTOLI CHILBIL SPZRED750ML,
Maybe Sammy Eucalyptus Gimlet,13.33,cost matched but name did not,RE WRITE CHARDONNAY      750ML,RE WRITE GSM            750ML,DE BORTOLI CHILBIL SPZRED750ML,
Maybe Sammy Italian Dirty Martini,13.33,cost matched but name did not,RE WRITE CHARDONNAY      750ML,RE WRITE GSM            750ML,DE BORTOLI CHILBIL SPZRED750ML,
Maybe Sammy Jasmine Negroni,13.33,cost matched but name did not,RE WRITE CHARDONNAY      750ML,RE WRITE GSM            750ML,DE BORTOLI CHILBIL SPZRED750ML,
Maybe Sammy Maybe Margarita,13.33,cost matched but name did not,RE WRITE CHARDONNAY      750ML,RE WRITE GSM            750ML,DE BORTOLI CHILBIL SPZRED750ML,
Maybe Sammy Old Fashioned,13.33,cost matched but name did not,RE WRITE CHARDONNAY      750ML,RE WRITE GSM            750ML,DE BORTOLI CHILBIL SPZRED750ML,
Maybe Sammy Sundown Aperitivo,13.33,cost matched but name did not,RE WRITE CHARDONNAY      750ML,RE WRITE GSM            750ML,DE BORTOLI CHILBIL SPZRED750ML,
Maybe Sammy Tropical Espresso Martini,13.99,cost matched but name did not,LITTLE GIANT GAMAY       750ML,LITTLE GIANT MALBEC      750ML,RED HUT SAUV BLANC       750ML,
Melbourne Gin Company Dry Gin,53.9,cost matched but name did not,BUFFALO TRACE BOURBON    700ML,TANQUERAY GIN            700ML,,
Millebuis Bourgogne Montagny Premier Cru 2022,64.67,matched 31423100 but no APN on file,MILLEBUIS BOURGOGNE MONTAGNY PREMIER CRU 2022 13.5% 750ML,,,
Minuty Rosé et Or,50.61,matched 30817932 but no APN on file,MINUTY ROSE OR 750ML,,,
Moët & Chandon Dom Pérignon,402.66,cost matched but name did not,DOM PERIGNON 2015 GB EOY LIMITED EDITION 750ML,,,
Mud House Marlborough Sauvignon Blanc,10.68,cost matched but name did not,JINRO SOJU GREEN GRAPE   360ML,JINRO SOJU GRAPEFRUIT 360ML,JINRO SOJU STRAWBERRY    360ML,
Naked Life Non-Alcoholic Classic G&T,75.6,cost matched but name did not,KIRIN ICHIBAN NEW BTL 24*330ML,,,
Naked Life Non-Alcoholic Passionfruit Martini,75.6,cost matched but name did not,KIRIN ICHIBAN NEW BTL 24*330ML,,,
Naked Life Non-Alcoholic Pink Paloma,75.6,cost matched but name did not,KIRIN ICHIBAN NEW BTL 24*330ML,,,
Nobby's Salted Peanuts 170g,2.0,cost matched but name did not,SNOW BEER               C330ML,,,
Oakridge 864 Cabernet Sauvignon Winery Block,72.37,several ALM rows match cost+name,OAKRIDGE 864 CAB SAUV WINERY BLOCK 750ML,OAKRIDGE 864 SYRAH 750ML,OAKRIDGE 864 PINOT NOIR BLOCK A4 750ML,
Oakridge 864 Chardonnay,86.09,several ALM rows match cost+name,OAKRIDGE 864 CHARDONNAY DRIVE BLOCK 750ML,OAKRIDGE 864 HENK CHARDONNAY 750ML,,
Oakridge 864 Henk Chardonnay,86.09,several ALM rows match cost+name,OAKRIDGE 864 CHARDONNAY DRIVE BLOCK 750ML,OAKRIDGE 864 HENK CHARDONNAY 750ML,,
Oakridge 864 Pinot Noir Block A4,72.37,several ALM rows match cost+name,OAKRIDGE 864 CAB SAUV WINERY BLOCK 750ML,OAKRIDGE 864 SYRAH 750ML,OAKRIDGE 864 PINOT NOIR BLOCK A4 750ML,
Oakridge 864 Syrah,72.37,several ALM rows match cost+name,OAKRIDGE 864 CAB SAUV WINERY BLOCK 750ML,OAKRIDGE 864 SYRAH 750ML,OAKRIDGE 864 PINOT NOIR BLOCK A4 750ML,
Patrick Piuze 2023 Petit Chablis,51.54,matched 31145249 but no APN on file,PATRICK PIUZE 2023 PETIT CHABLIS 750ML,,,
Penfolds Great Grandfather Rare Tawny,260.87,cost matched but name did not,PENFOLDS GRT G/FATH 30YO 750ML,,,
Pepperjack Barossa Shiraz,15.24,cost matched but name did not,ARCHIE ROSE GIN PEACH 4* 330ML,ARCHIE ROSE GIN BBERRY4* 330ML,ARCHIE ROSE VODKA RASP4*330ML,
Perrier-Jouet Belle Epoque Blanc de Blanc,451.56,cost matched but name did not,PERRIER-JOU�T BELLE �POQUE BLANC DE BLANC 750ML,,,
Petaluma Anova Cabernet Sauvignon,113.52,several ALM rows match cost+name,PETALUMA ANOVA CABERNET SAUVIGNON 750ML,PETALUMA ANOVA CHARDONNAY 750ML,,
Petaluma Anova Chardonnay,113.52,several ALM rows match cost+name,PETALUMA ANOVA CABERNET SAUVIGNON 750ML,PETALUMA ANOVA CHARDONNAY 750ML,,
Petaluma Yellow Label Cabernet Merlot,81.36,cost matched but name did not,PETALUMA YL CABERNET MERLOT 750ML,,,
Petaluma Yellow Label Chardonnay,59.56,cost matched but name did not,PETALUMA YL CHARDONNAY   750ML,,,
Petaluma Yellow Label Shiraz,52.03,cost matched but name did not,MASSERIA SETTEPORTE DOC ETNA ROSSO 750ML,GIBOULOT HAUTE C�TE DE BEAUNE ROUGE 750ML,PETALUMA YL SHIRAZ 750ML,
Peyrassol Chateau Rose,48.01,matched 31263275 but no APN on file,PEYRASSOL CHATEAU ROSE 750ML,,,
Piazzo Barbaresco Arge DOCG 2021,56.76,matched 31357537 but no APN on file,PIAZZO BARBARESCO ARGÈ DOCG 2021 750ML,,,
Piazzo Barbaresco Pajore DOCG 2021,83.96,matched 31357529 but no APN on file,PIAZZO BARBARESCO PAJORE DOCG 2021 750ML,,,
Piazzo Barolo Valente DOCG 2020,59.72,matched 31357561 but no APN on file,PIAZZO BAROLO VALENTE DOCG 2020 750ML,,,
Piombaia DOCG Brunello di Montalcino,105.24,matched 30838378 but no APN on file,PIOMBAIA DOCG BRUNELLO DI MONTALCINO 750ML,,,
Piper-Heidsieck Brut NV,54.3,cost matched but name did not,BENTSPOKE HAZEE P/ALE 16*375ML,BROKEN BEAN COFFEELIQUEUR700ML,,
Plantation 3 Stars White Rum,37.5,cost matched but name did not,PENFOLDS CELLRES 2016 GREN 750ML,,,
Plantation Xaymaca Special Dry,45.68,cost matched but name did not,DIST. PROVENCE APERITIF ORANGE COLOMBO 750ML,DDP NOIX DE ST JEAN APERITIF WALNUT 750ML,,
Podere Casanova DOCG Chianti Classico,50.85,matched 30981244 but no APN on file,PODERE CASANOVA DOCG CHIANTI CLASSICO 750ML,,,
Poggio Al Tesoro Dedicato A Walter Bolgheri Superiore DOC Tuscany Italy,275.0,matched 30830485 but no APN on file,POGGIO AL TESORO DEDICATO A WALTER BOLGHERI SUPERIORE DOC TUSCANY ITALY 750ML,,,
Poggio Al Tesoro Solosole Vermentino Bolgheri DOC - Tuscany Italy,35.48,matched 30830443 but no APN on file,POGGIO AL TESORO 'SOLOSOLE' VERMENTINO BOLGHERI DOC - TUSCANY ITALY 750ML,,,
Poggio Landi Brunello di Montalcino DOCG 2018,98.86,matched 31357600 but no APN on file,POGGIO LANDI BRUNELLO DI MONTALCINO DOCG 2018 750ML,,,
Poggio dei Salici Chianti Classico DOCG,35.48,matched 30828226 but no APN on file,POGGIO DEI SALICI CHIANTI CLASSICO DOCG 750ML,,,
Poor Toms Sydney Dry Gin,62.33,cost matched but name did not,SAGATIBA CRISTALINA PURA 700ML,,,
Rawson's Retreat Shiraz Cabernet,6.17,cost matched but name did not,CHINGU MANGO SOJU        360ML,CHINGU YUZU SOJU         360ML,CHINGU PEACH SOJU        360ML,
Roland Tissier Sancerre,42.57,matched 31057894 but no APN on file,ROLAND TISSIER SANCERRE 750ML,,,
Ruinart Rose Second Skin,182.35,matched 592913 but no APN on file,RUINART ROSE SECOND SKIN 750ML,,,
San Polo Brunello di Montalcino DOCG Sangiovese Tuscany Italy 2017,93.5,matched 30830817 but no APN on file,SAN POLO BRUNELLO DI MONTALCINO DOCG SANGIOVESE TUSCANY ITALY 2017 750ML,,,
San Polo Brunello di Montalcino DOCG Vignavecchia 2017 Sangiovese Tuscany Italy,550.0,several ALM rows match cost+name,SAN POLO BRUNELLO DI MONTALCINO DOCG PODERNOVI MAGNUM 2017 SANGIOVESE TUSCANY ITALY 1.5L,SAN POLO BRUNELLO DI MONTALCINO DOCG VIGNAVECCHIA 2017 SANGIOVESE TUSCANY ITALY 750ML,,
San Polo Brunello di Montalcino Riserva DOCG 2012 Sangiovese Tuscany Italy,174.9,matched 30830825 but no APN on file,SAN POLO BRUNELLO DI MONTALCINO RISERVA DOCG 2012 SANGIOVESE TUSCANY ITALY 750ML,,,
Seppeltsfield Para 21 Year Old Tawny,81.38,matched 31044095 but no APN on file,SEPPELTSFIELD 21YO PARA TAWNY 2003  750ML,,,
Seppeltsfield Para Rare Tawny NV 15 Year Old,62.77,matched 932029 but no APN on file,SEPPELTSFIELD PARA RARE TAWNY NV 15YO 750ML,,,
Squealing Pig Marlborough Sauvignon Blanc,12.04,cost matched but name did not,WYNNS SIDING SHIRAZ      750ML,WYNNS SIDING CHARDONNAY  750ML,WYNNS SIDING CAB SHZ MRML750ML,
Tar & Roses Local Hero Barolo,79.48,matched 30941870 but no APN on file,TAR & ROSES LOCAL HERO BAROLO 750ML,,,
Tatachilla White Admiral Pinot Grigio,6.68,cost matched but name did not,BAY OF STONES OP BRUT NV 750ML,,,
Tatachilla White Admiral Rose,6.68,cost matched but name did not,BAY OF STONES OP BRUT NV 750ML,,,
Taylors Estate Cabernet Sauvignon,14.38,cost matched but name did not,KRANKED HARD COLA 4*375ML,DE BORTOLI TI AMO FIANO 750ML,,
Taylors Estate Chardonnay,14.38,cost matched but name did not,KRANKED HARD COLA 4*375ML,DE BORTOLI TI AMO FIANO 750ML,,
Taylors Estate Shiraz,14.38,cost matched but name did not,KRANKED HARD COLA 4*375ML,DE BORTOLI TI AMO FIANO 750ML,,
Tempus Two Varietal Pinot Grigio,8.66,cost matched but name did not,GLENFIDDICH MALT12Y MIN40%50ML,,,
Tempus Two Varietal Prosecco,8.66,cost matched but name did not,GLENFIDDICH MALT12Y MIN40%50ML,,,
Tenuta Meraviglia Rosso Bolgheri DOC 2020,61.96,matched 31357804 but no APN on file,TENUTA MERAVIGLIA ROSSO BOLGHERI DOC 2020 750ML,,,
Tenuta Meraviglia Rosso Bolgheri Superiore 2018,143.79,matched 31357812 but no APN on file,TENUTA MERAVIGLIA ROSSO BOLGHERI SUPERIORE 2018 750ML,,,
