Product,Vendor,Status,Filename 01 (front - featured),Filename 02 (back label),Filename 03 (gift box),Shopify handle
Dal Zotto Pucino Prosecco,Dal Zotto,DRAFT,dal-zotto-pucino-prosecco-01.jpg,dal-zotto-pucino-prosecco-02.jpg,dal-zotto-pucino-prosecco-03.jpg,dal-zotto-pucino-prosecco
De Bortoli Rose Rose,De Bortoli,ACTIVE,de-bortoli-rose-rose-01.jpg,de-bortoli-rose-rose-02.jpg,de-bortoli-rose-rose-03.jpg,de-bortoli-rose-rose
Deviation Road Beltana Blanc de Blancs,Deviation Road,DRAFT,deviation-road-beltana-blanc-de-blancs-01.jpg,deviation-road-beltana-blanc-de-blancs-02.jpg,deviation-road-beltana-blanc-de-blancs-03.jpg,deviation-road-beltana-blanc-de-blancs
Didier Dagueneau Silex,Didier Dagueneau,DRAFT,didier-dagueneau-silex-01.jpg,didier-dagueneau-silex-02.jpg,didier-dagueneau-silex-03.jpg,didier-dagueneau-silex
Diego Rivetti Barolo Elda 2022,Diego Rivetti,DRAFT,diego-rivetti-barolo-elda-2022-01.jpg,diego-rivetti-barolo-elda-2022-02.jpg,diego-rivetti-barolo-elda-2022-03.jpg,diego-rivetti-barolo-elda-2022
Dog Point Section 94,Dog Point,DRAFT,dog-point-section-94-01.jpg,dog-point-section-94-02.jpg,dog-point-section-94-03.jpg,dog-point-section-94
Dom Perignon Rose,Dom Perignon,DRAFT,dom-perignon-rose-01.jpg,dom-perignon-rose-02.jpg,dom-perignon-rose-03.jpg,dom-perignon-rose
Domaine Christian Salmon Sancerre Ac,Domaine Christian Salmon,DRAFT,domaine-christian-salmon-sancerre-ac-01.jpg,domaine-christian-salmon-sancerre-ac-02.jpg,domaine-christian-salmon-sancerre-ac-03.jpg,domaine-christian-salmon-sancerre-ac
Domaine Tempier Bandol Rosé,Domaine Tempier,DRAFT,domaine-tempier-bandol-rose-01.jpg,domaine-tempier-bandol-rose-02.jpg,domaine-tempier-bandol-rose-03.jpg,domaine-tempier-bandol-rose
Domaine Vacheron Sancerre,Domaine Vacheron,DRAFT,domaine-vacheron-sancerre-01.jpg,domaine-vacheron-sancerre-02.jpg,domaine-vacheron-sancerre-03.jpg,domaine-vacheron-sancerre
Domaines Ott Château Romassan,Domaines Ott,DRAFT,domaines-ott-chateau-romassan-01.jpg,domaines-ott-chateau-romassan-02.jpg,domaines-ott-chateau-romassan-03.jpg,domaines-ott-chateau-romassan
Dominique Portet Fontaine Rosé,Dominique Portet,DRAFT,dominique-portet-fontaine-rose-01.jpg,dominique-portet-fontaine-rose-02.jpg,dominique-portet-fontaine-rose-03.jpg,dominique-portet-fontaine-rose
Donne Fittipaldi Bolgheri Rosso,Donne Fittipaldi,DRAFT,donne-fittipaldi-bolgheri-rosso-01.jpg,donne-fittipaldi-bolgheri-rosso-02.jpg,donne-fittipaldi-bolgheri-rosso-03.jpg,donne-fittipaldi-bolgheri-rosso
Donne Fittipaldi Bolgheri Tuscany 2022,Donne Fittipaldi,DRAFT,donne-fittipaldi-bolgheri-tuscany-2022-01.jpg,donne-fittipaldi-bolgheri-tuscany-2022-02.jpg,donne-fittipaldi-bolgheri-tuscany-2022-03.jpg,donne-fittipaldi-bolgheri-tuscany-2022
Donne Fittipaldi Malaroja Malbec Super Tuscan,Donne Fittipaldi,DRAFT,donne-fittipaldi-malaroja-malbec-super-tuscan-01.jpg,donne-fittipaldi-malaroja-malbec-super-tuscan-02.jpg,donne-fittipaldi-malaroja-malbec-super-tuscan-03.jpg,donne-fittipaldi-malaroja-malbec-super-tuscan
Dow's 30 Year Old Tawny Port,Dow's,DRAFT,dow-s-30-year-old-tawny-port-01.jpg,dow-s-30-year-old-tawny-port-02.jpg,dow-s-30-year-old-tawny-port-03.jpg,dow-s-30-year-old-tawny-port
Dow's Colheita Tawny Port Portugal,Dow's,DRAFT,dow-s-colheita-tawny-port-portugal-01.jpg,dow-s-colheita-tawny-port-portugal-02.jpg,dow-s-colheita-tawny-port-portugal-03.jpg,dow-s-colheita-tawny-port-portugal
Dr Loosen Wehlener Sonnenuhr Kabinett,Dr Loosen,DRAFT,dr-loosen-wehlener-sonnenuhr-kabinett-01.jpg,dr-loosen-wehlener-sonnenuhr-kabinett-02.jpg,dr-loosen-wehlener-sonnenuhr-kabinett-03.jpg,dr-loosen-wehlener-sonnenuhr-kabinett
Egly-Ouriet Brut Tradition Grand Cru,Egly-Ouriet,DRAFT,egly-ouriet-brut-tradition-grand-cru-01.jpg,egly-ouriet-brut-tradition-grand-cru-02.jpg,egly-ouriet-brut-tradition-grand-cru-03.jpg,egly-ouriet-brut-tradition-grand-cru
Eileen Hardy Pinot Noir V21,Hardys,DRAFT,eileen-hardy-pinot-noir-v21-01.jpg,eileen-hardy-pinot-noir-v21-02.jpg,eileen-hardy-pinot-noir-v21-03.jpg,eileen-hardy-pinot-noir-v21
Eileen Hardy Shiraz V20,Hardys,DRAFT,eileen-hardy-shiraz-v20-01.jpg,eileen-hardy-shiraz-v20-02.jpg,eileen-hardy-shiraz-v20-03.jpg,eileen-hardy-shiraz-v20
Elephant in the Room Pinot Noir,Fourth Wave Wine,ACTIVE,elephant-in-the-room-pinot-noir-01.jpg,elephant-in-the-room-pinot-noir-02.jpg,elephant-in-the-room-pinot-noir-03.jpg,elephant-in-the-room-pinot-noir
Farina Amarone della Valpolicella Classico DOCG Veneto Italy,Farina,DRAFT,farina-amarone-della-valpolicella-classico-docg-veneto-italy-01.jpg,farina-amarone-della-valpolicella-classico-docg-veneto-italy-02.jpg,farina-amarone-della-valpolicella-classico-docg-veneto-italy-03.jpg,farina-amarone-della-valpolicella-classico-docg-veneto-italy
First Drop Fat Of the Land Seppeltsfield Shiraz 2021,First Drop,DRAFT,first-drop-fat-of-the-land-seppeltsfield-shiraz-2021-01.jpg,first-drop-fat-of-the-land-seppeltsfield-shiraz-2021-02.jpg,first-drop-fat-of-the-land-seppeltsfield-shiraz-2021-03.jpg,first-drop-fat-of-the-land-seppeltsfield-shiraz-2021
Fontanafredda Barolo Proprieta DOCG Italy,Fontanafredda,DRAFT,fontanafredda-barolo-proprieta-docg-italy-01.jpg,fontanafredda-barolo-proprieta-docg-italy-02.jpg,fontanafredda-barolo-proprieta-docg-italy-03.jpg,fontanafredda-barolo-proprieta-docg-italy
Fontanafredda Serralunga d'Alba Barolo DOCG Italy,Fontanafredda,DRAFT,fontanafredda-serralunga-d-alba-barolo-docg-italy-01.jpg,fontanafredda-serralunga-d-alba-barolo-docg-italy-02.jpg,fontanafredda-serralunga-d-alba-barolo-docg-italy-03.jpg,fontanafredda-serralunga-d-alba-barolo-docg-italy
Fontanafredda Vigna la Rosa Barolo DOCG Italy,Fontanafredda,DRAFT,fontanafredda-vigna-la-rosa-barolo-docg-italy-01.jpg,fontanafredda-vigna-la-rosa-barolo-docg-italy-02.jpg,fontanafredda-vigna-la-rosa-barolo-docg-italy-03.jpg,fontanafredda-vigna-la-rosa-barolo-docg-italy
Frankland Estate Isolation Ridge Riesling,Frankland Estate,DRAFT,frankland-estate-isolation-ridge-riesling-01.jpg,frankland-estate-isolation-ridge-riesling-02.jpg,frankland-estate-isolation-ridge-riesling-03.jpg,frankland-estate-isolation-ridge-riesling
Giaconda Estate Vineyard Chardonnay,Giaconda,DRAFT,giaconda-estate-vineyard-chardonnay-01.jpg,giaconda-estate-vineyard-chardonnay-02.jpg,giaconda-estate-vineyard-chardonnay-03.jpg,giaconda-estate-vineyard-chardonnay
Giant Steps Applejack Vineyard Pinot Noir,Giant Steps,DRAFT,giant-steps-applejack-vineyard-pinot-noir-01.jpg,giant-steps-applejack-vineyard-pinot-noir-02.jpg,giant-steps-applejack-vineyard-pinot-noir-03.jpg,giant-steps-applejack-vineyard-pinot-noir
Giboulot Beaune Clos du Roi 1er Cru,Giboulot,DRAFT,giboulot-beaune-clos-du-roi-1er-cru-01.jpg,giboulot-beaune-clos-du-roi-1er-cru-02.jpg,giboulot-beaune-clos-du-roi-1er-cru-03.jpg,giboulot-beaune-clos-du-roi-1er-cru
Giovanni Rosso Barolo Serralunga d'Alba del Comune,Giovanni Rosso,DRAFT,giovanni-rosso-barolo-serralunga-d-alba-del-comune-01.jpg,giovanni-rosso-barolo-serralunga-d-alba-del-comune-02.jpg,giovanni-rosso-barolo-serralunga-d-alba-del-comune-03.jpg,giovanni-rosso-barolo-serralunga-d-alba-del-comune
Grant Burge Meshach Shiraz V19,Grant Burge,DRAFT,grant-burge-meshach-shiraz-v19-01.jpg,grant-burge-meshach-shiraz-v19-02.jpg,grant-burge-meshach-shiraz-v19-03.jpg,grant-burge-meshach-shiraz-v19
